"date","tau","K","call_option_price","S","r","put_option_price"
"2014-01-03",35,1770,70.65,1831.37,0.0022,10.4
"2014-01-03",35,1775,66.5,1831.37,0.0022,11.2
"2014-01-03",35,1780,62.4,1831.37,0.0022,12.1
"2014-01-03",35,1785,58.35,1831.37,0.0022,13.05
"2014-01-03",35,1790,54.4,1831.37,0.0022,14.05
"2014-01-03",35,1795,50.45,1831.37,0.0022,15.25
"2014-01-03",35,1800,46.75,1831.37,0.0022,16.5
"2014-01-03",35,1805,43,1831.37,0.0022,17.85
"2014-01-03",35,1810,39.5,1831.37,0.0022,19.3
"2014-01-03",35,1815,36.15,1831.37,0.0022,21.05
"2014-01-03",35,1820,32.85,1831.37,0.0022,22.75
"2014-01-03",35,1825,29.75,1831.37,0.0022,24.55
"2014-01-03",35,1830,26.75,1831.37,0.0022,26.65
"2014-01-03",35,1835,23.9,1831.37,0.0022,28.85
"2014-01-03",35,1840,21.25,1831.37,0.0022,31.35
"2014-01-03",35,1845,18.85,1831.37,0.0022,33.9
"2014-01-03",35,1850,16.45,1831.37,0.0022,36.75
"2014-01-03",35,1855,14.45,1831.37,0.0022,39.65
"2014-01-03",35,1860,12.45,1831.37,0.0022,42.75
"2014-01-03",35,1865,10.75,1831.37,0.0022,46.05
"2014-01-03",35,1870,9.15,1831.37,0.0022,49.55
"2014-01-03",35,1875,7.85,1831.37,0.0022,53.15
"2014-01-03",35,1880,6.6,1831.37,0.0022,57
"2014-01-03",35,1885,5.6,1831.37,0.0022,61
"2014-01-03",35,1890,4.75,1831.37,0.0022,65.2
"2014-01-03",35,1895,4.05,1831.37,0.0022,69.85
"2014-01-03",35,1900,3.375,1831.37,0.0022,74.25
"2014-01-03",35,1905,2.875,1831.37,0.0022,78.7
"2014-01-03",35,1910,2.45,1831.37,0.0022,83
"2014-01-03",35,1915,2.05,1831.37,0.0022,87.85
"2014-01-03",35,1920,1.65,1831.37,0.0022,92.3
"2014-01-06",12,1730,98.15,1826.77,0.0016,0.95
"2014-01-06",12,1735,93.25,1826.77,0.0016,1
"2014-01-06",12,1740,88.3,1826.77,0.0016,0.925
"2014-01-06",12,1745,83.4,1826.77,0.0016,1.15
"2014-01-06",12,1750,78.45,1826.77,0.0016,1.4
"2014-01-06",12,1755,73.6,1826.77,0.0016,1.325
"2014-01-06",12,1760,68.75,1826.77,0.0016,1.5
"2014-01-06",12,1765,63.95,1826.77,0.0016,1.675
"2014-01-06",12,1770,59.15,1826.77,0.0016,1.875
"2014-01-06",12,1775,54.4,1826.77,0.0016,2.2
"2014-01-06",12,1780,49.75,1826.77,0.0016,2.525
"2014-01-06",12,1785,45.2,1826.77,0.0016,2.95
"2014-01-06",12,1790,40.75,1826.77,0.0016,3.45
"2014-01-06",12,1795,36.35,1826.77,0.0016,4.15
"2014-01-06",12,1800,32.15,1826.77,0.0016,4.9
"2014-01-06",12,1805,28.1,1826.77,0.0016,5.9
"2014-01-06",12,1810,24.4,1826.77,0.0016,7.05
"2014-01-06",12,1815,20.8,1826.77,0.0016,8.45
"2014-01-06",12,1820,17.4,1826.77,0.0016,10.1
"2014-01-06",12,1825,14.3,1826.77,0.0016,12.1
"2014-01-06",12,1830,11.5,1826.77,0.0016,14.15
"2014-01-06",12,1835,9.1,1826.77,0.0016,16.75
"2014-01-06",12,1840,6.95,1826.77,0.0016,19.65
"2014-01-06",12,1845,5.25,1826.77,0.0016,23.1
"2014-01-06",12,1850,3.85,1826.77,0.0016,26.65
"2014-01-06",12,1855,2.825,1826.77,0.0016,30.6
"2014-01-06",12,1860,2,1826.77,0.0016,34.85
"2014-01-06",32,1735,96.35,1826.77,0.0022,5.65
"2014-01-06",32,1740,92,1826.77,0.0022,6.05
"2014-01-06",32,1745,87.4,1826.77,0.0022,6.55
"2014-01-06",32,1750,83,1826.77,0.0022,7.05
"2014-01-06",32,1755,78.5,1826.77,0.0022,7.65
"2014-01-06",32,1760,74.25,1826.77,0.0022,8.25
"2014-01-06",32,1765,69.85,1826.77,0.0022,8.95
"2014-01-06",32,1770,65.75,1826.77,0.0022,9.7
"2014-01-06",32,1775,61.35,1826.77,0.0022,10.55
"2014-01-06",32,1780,57.4,1826.77,0.0022,11.5
"2014-01-06",32,1785,53.25,1826.77,0.0022,12.4
"2014-01-06",32,1790,49.45,1826.77,0.0022,13.45
"2014-01-06",32,1795,45.75,1826.77,0.0022,14.65
"2014-01-06",32,1800,42,1826.77,0.0022,15.9
"2014-01-06",32,1805,38.45,1826.77,0.0022,17.35
"2014-01-06",32,1810,34.7,1826.77,0.0022,18.9
"2014-01-06",32,1815,31.45,1826.77,0.0022,20.55
"2014-01-06",32,1820,28.35,1826.77,0.0022,22.45
"2014-01-06",32,1825,25.4,1826.77,0.0022,24.45
"2014-01-06",32,1830,22.55,1826.77,0.0022,26.65
"2014-01-06",32,1835,20,1826.77,0.0022,28.95
"2014-01-06",32,1840,17.55,1826.77,0.0022,31.3
"2014-01-06",32,1845,15.25,1826.77,0.0022,34.25
"2014-01-06",32,1850,13.15,1826.77,0.0022,37.15
"2014-01-06",32,1855,11.3,1826.77,0.0022,40.15
"2014-01-06",32,1860,9.6,1826.77,0.0022,43.5
"2014-01-06",32,1865,8.05,1826.77,0.0022,47
"2014-01-06",32,1870,6.8,1826.77,0.0022,50.7
"2014-01-06",32,1875,5.7,1826.77,0.0022,54.55
"2014-01-06",32,1880,4.75,1826.77,0.0022,58.5
"2014-01-06",32,1885,3.9,1826.77,0.0022,62.7
"2014-01-06",32,1890,3.2,1826.77,0.0022,66.85
"2014-01-06",32,1895,2.65,1826.77,0.0022,72.1
"2014-01-06",32,1900,2.175,1826.77,0.0022,76.6
"2014-01-06",32,1905,1.775,1826.77,0.0022,81.1
"2014-01-07",11,1750,87.95,1837.88,0.0015,0.7
"2014-01-07",11,1755,83,1837.88,0.0015,0.925
"2014-01-07",11,1760,78.05,1837.88,0.0015,0.8
"2014-01-07",11,1765,73.15,1837.88,0.0015,1
"2014-01-07",11,1770,68.25,1837.88,0.0015,1.025
"2014-01-07",11,1775,63.4,1837.88,0.0015,1.05
"2014-01-07",11,1780,58.55,1837.88,0.0015,1.375
"2014-01-07",11,1785,54.05,1837.88,0.0015,1.625
"2014-01-07",11,1790,49.25,1837.88,0.0015,1.9
"2014-01-07",11,1795,44.45,1837.88,0.0015,2.275
"2014-01-07",11,1800,39.9,1837.88,0.0015,2.7
"2014-01-07",11,1805,35.5,1837.88,0.0015,3.3
"2014-01-07",11,1810,31.15,1837.88,0.0015,3.95
"2014-01-07",11,1815,27.1,1837.88,0.0015,4.95
"2014-01-07",11,1820,23.3,1837.88,0.0015,5.9
"2014-01-07",11,1825,19.6,1837.88,0.0015,7.35
"2014-01-07",11,1830,16.25,1837.88,0.0015,9
"2014-01-07",11,1835,13.1,1837.88,0.0015,10.95
"2014-01-07",11,1840,10.35,1837.88,0.0015,13.15
"2014-01-07",11,1845,8.1,1837.88,0.0015,15.85
"2014-01-07",11,1850,6.1,1837.88,0.0015,18.9
"2014-01-07",11,1855,4.5,1837.88,0.0015,22.3
"2014-01-07",11,1860,3.125,1837.88,0.0015,26.05
"2014-01-07",11,1865,2.3,1837.88,0.0015,30.1
"2014-01-07",11,1870,1.575,1837.88,0.0015,34.5
"2014-01-07",31,1745,96.05,1837.88,0.0021,4.9
"2014-01-07",31,1750,91.4,1837.88,0.0021,5.3
"2014-01-07",31,1755,86.6,1837.88,0.0021,5.7
"2014-01-07",31,1760,82.2,1837.88,0.0021,6.2
"2014-01-07",31,1765,77.75,1837.88,0.0021,6.7
"2014-01-07",31,1770,73.3,1837.88,0.0021,7.3
"2014-01-07",31,1775,68.95,1837.88,0.0021,7.95
"2014-01-07",31,1780,64.7,1837.88,0.0021,8.65
"2014-01-07",31,1785,60.45,1837.88,0.0021,9.4
"2014-01-07",31,1790,56.2,1837.88,0.0021,10.3
"2014-01-07",31,1795,52.1,1837.88,0.0021,11.25
"2014-01-07",31,1800,48.2,1837.88,0.0021,12.25
"2014-01-07",31,1805,44.35,1837.88,0.0021,13.45
"2014-01-07",31,1810,40.6,1837.88,0.0021,14.7
"2014-01-07",31,1815,36.9,1837.88,0.0021,16.05
"2014-01-07",31,1820,33.55,1837.88,0.0021,17.6
"2014-01-07",31,1825,30.15,1837.88,0.0021,19.25
"2014-01-07",31,1830,26.9,1837.88,0.0021,21.05
"2014-01-07",31,1835,23.95,1837.88,0.0021,23.05
"2014-01-07",31,1840,21.1,1837.88,0.0021,25.25
"2014-01-07",31,1845,18.4,1837.88,0.0021,27.6
"2014-01-07",31,1850,16,1837.88,0.0021,30.15
"2014-01-07",31,1855,13.75,1837.88,0.0021,32.85
"2014-01-07",31,1860,11.75,1837.88,0.0021,35.8
"2014-01-07",31,1865,9.95,1837.88,0.0021,39.15
"2014-01-07",31,1870,8.35,1837.88,0.0021,42.35
"2014-01-07",31,1875,6.9,1837.88,0.0021,45.95
"2014-01-07",31,1880,5.7,1837.88,0.0021,49.6
"2014-01-07",31,1885,4.7,1837.88,0.0021,53.55
"2014-01-07",31,1890,3.8,1837.88,0.0021,57.6
"2014-01-07",31,1895,3.1,1837.88,0.0021,62.15
"2014-01-07",31,1900,2.5,1837.88,0.0021,66.35
"2014-01-07",31,1905,2.025,1837.88,0.0021,71.25
"2014-01-07",31,1910,1.625,1837.88,0.0021,76
"2014-01-09",15,1740,99.35,1838.13,0.0018,1.225
"2014-01-09",15,1745,94.4,1838.13,0.0018,1.3
"2014-01-09",15,1750,89.5,1838.13,0.0018,1.425
"2014-01-09",15,1755,84.65,1838.13,0.0018,1.525
"2014-01-09",15,1760,79.55,1838.13,0.0018,1.7
"2014-01-09",15,1765,74.95,1838.13,0.0018,1.875
"2014-01-09",15,1770,70.1,1838.13,0.0018,2.075
"2014-01-09",15,1775,65.25,1838.13,0.0018,2.325
"2014-01-09",15,1780,60.8,1838.13,0.0018,2.625
"2014-01-09",15,1785,56,1838.13,0.0018,3
"2014-01-09",15,1790,51.5,1838.13,0.0018,3.4
"2014-01-09",15,1795,46.95,1838.13,0.0018,3.9
"2014-01-09",15,1800,42.5,1838.13,0.0018,4.55
"2014-01-09",15,1805,38.15,1838.13,0.0018,5.25
"2014-01-09",15,1810,34.1,1838.13,0.0018,6.15
"2014-01-09",15,1815,30.1,1838.13,0.0018,7.15
"2014-01-09",15,1820,26.3,1838.13,0.0018,8.4
"2014-01-09",15,1825,22.75,1838.13,0.0018,9.75
"2014-01-09",15,1830,19.3,1838.13,0.0018,11.45
"2014-01-09",15,1835,16.25,1838.13,0.0018,13.3
"2014-01-09",15,1840,13.35,1838.13,0.0018,15.5
"2014-01-09",15,1845,10.9,1838.13,0.0018,18
"2014-01-09",15,1850,8.65,1838.13,0.0018,20.65
"2014-01-09",15,1855,6.8,1838.13,0.0018,23.75
"2014-01-09",15,1860,5.2,1838.13,0.0018,27.15
"2014-01-09",15,1865,3.95,1838.13,0.0018,30.9
"2014-01-09",15,1870,2.9,1838.13,0.0018,34.9
"2014-01-09",15,1875,2.125,1838.13,0.0018,39.15
"2014-01-09",15,1880,1.55,1838.13,0.0018,43.5
"2014-01-09",36,1745,96.25,1838.13,0.0017,5.75
"2014-01-09",36,1750,91.7,1838.13,0.0017,6.2
"2014-01-09",36,1755,87.15,1838.13,0.0017,6.7
"2014-01-09",36,1760,82.75,1838.13,0.0017,7.2
"2014-01-09",36,1765,78.4,1838.13,0.0017,7.75
"2014-01-09",36,1770,74.05,1838.13,0.0017,8.35
"2014-01-09",36,1775,69.7,1838.13,0.0017,9.05
"2014-01-09",36,1780,65.45,1838.13,0.0017,9.85
"2014-01-09",36,1785,61.25,1838.13,0.0017,10.65
"2014-01-09",36,1790,57.2,1838.13,0.0017,11.6
"2014-01-09",36,1795,53.2,1838.13,0.0017,12.6
"2014-01-09",36,1800,49.25,1838.13,0.0017,13.65
"2014-01-09",36,1805,45.35,1838.13,0.0017,14.85
"2014-01-09",36,1810,41.7,1838.13,0.0017,16.15
"2014-01-09",36,1815,38.1,1838.13,0.0017,17.6
"2014-01-09",36,1820,34.7,1838.13,0.0017,19.15
"2014-01-09",36,1825,31.3,1838.13,0.0017,20.8
"2014-01-09",36,1830,28.35,1838.13,0.0017,22.7
"2014-01-09",36,1835,25.2,1838.13,0.0017,24.65
"2014-01-09",36,1840,22.45,1838.13,0.0017,26.85
"2014-01-09",36,1845,19.75,1838.13,0.0017,29.2
"2014-01-09",36,1850,17.3,1838.13,0.0017,31.75
"2014-01-09",36,1855,14.95,1838.13,0.0017,34.45
"2014-01-09",36,1860,12.95,1838.13,0.0017,37.4
"2014-01-09",36,1865,11.15,1838.13,0.0017,40.5
"2014-01-09",36,1870,9.35,1838.13,0.0017,43.85
"2014-01-09",36,1875,8,1838.13,0.0017,47.35
"2014-01-09",36,1880,6.7,1838.13,0.0017,51.1
"2014-01-09",36,1885,5.55,1838.13,0.0017,55
"2014-01-09",36,1890,4.6,1838.13,0.0017,58.9
"2014-01-09",36,1895,3.75,1838.13,0.0017,63.05
"2014-01-09",36,1900,3.075,1838.13,0.0017,67.4
"2014-01-09",36,1905,2.575,1838.13,0.0017,71.95
"2014-01-09",36,1910,2.125,1838.13,0.0017,76.6
"2014-01-09",36,1915,1.725,1838.13,0.0017,81
"2014-01-10",14,1770,72.45,1842.37,0.0017,1.35
"2014-01-10",14,1775,67.65,1842.37,0.0017,1.525
"2014-01-10",14,1780,62.85,1842.37,0.0017,1.75
"2014-01-10",14,1785,58,1842.37,0.0017,2
"2014-01-10",14,1790,53.3,1842.37,0.0017,2.325
"2014-01-10",14,1795,48.75,1842.37,0.0017,2.675
"2014-01-10",14,1800,44.1,1842.37,0.0017,3.15
"2014-01-10",14,1805,39.9,1842.37,0.0017,3.65
"2014-01-10",14,1810,35.6,1842.37,0.0017,4.35
"2014-01-10",14,1815,31.4,1842.37,0.0017,5.15
"2014-01-10",14,1820,27.4,1842.37,0.0017,6.15
"2014-01-10",14,1825,23.6,1842.37,0.0017,7.3
"2014-01-10",14,1830,19.95,1842.37,0.0017,8.7
"2014-01-10",14,1835,16.4,1842.37,0.0017,10.35
"2014-01-10",14,1840,13.5,1842.37,0.0017,12.35
"2014-01-10",14,1845,10.8,1842.37,0.0017,14.55
"2014-01-10",14,1850,8.4,1842.37,0.0017,17.25
"2014-01-10",14,1855,6.35,1842.37,0.0017,20.25
"2014-01-10",14,1860,4.75,1842.37,0.0017,23.6
"2014-01-10",14,1865,3.45,1842.37,0.0017,27.35
"2014-01-10",14,1870,2.4,1842.37,0.0017,31.2
"2014-01-10",14,1875,1.675,1842.37,0.0017,35.5
"2014-01-10",35,1745,98.6,1842.37,0.0017,4.95
"2014-01-10",35,1750,94,1842.37,0.0017,5.35
"2014-01-10",35,1755,89.45,1842.37,0.0017,5.8
"2014-01-10",35,1760,84.9,1842.37,0.0017,6.25
"2014-01-10",35,1765,80.5,1842.37,0.0017,6.75
"2014-01-10",35,1770,76.1,1842.37,0.0017,7.3
"2014-01-10",35,1775,71.65,1842.37,0.0017,7.8
"2014-01-10",35,1780,67.35,1842.37,0.0017,8.5
"2014-01-10",35,1785,63.05,1842.37,0.0017,9.15
"2014-01-10",35,1790,58.8,1842.37,0.0017,9.95
"2014-01-10",35,1795,54.65,1842.37,0.0017,10.85
"2014-01-10",35,1800,50.65,1842.37,0.0017,11.8
"2014-01-10",35,1805,46.6,1842.37,0.0017,12.85
"2014-01-10",35,1810,42.8,1842.37,0.0017,14.05
"2014-01-10",35,1815,39.15,1842.37,0.0017,15.35
"2014-01-10",35,1820,35.65,1842.37,0.0017,16.65
"2014-01-10",35,1825,32.2,1842.37,0.0017,18.25
"2014-01-10",35,1830,28.9,1842.37,0.0017,19.95
"2014-01-10",35,1835,25.8,1842.37,0.0017,21.85
"2014-01-10",35,1840,22.8,1842.37,0.0017,23.9
"2014-01-10",35,1845,20.05,1842.37,0.0017,26
"2014-01-10",35,1850,17.4,1842.37,0.0017,28.5
"2014-01-10",35,1855,15.05,1842.37,0.0017,31.1
"2014-01-10",35,1860,12.9,1842.37,0.0017,33.95
"2014-01-10",35,1865,10.9,1842.37,0.0017,37.05
"2014-01-10",35,1870,9.15,1842.37,0.0017,40.3
"2014-01-10",35,1875,7.6,1842.37,0.0017,43.65
"2014-01-10",35,1880,6.3,1842.37,0.0017,47.4
"2014-01-10",35,1885,5.15,1842.37,0.0017,51.3
"2014-01-10",35,1890,4.2,1842.37,0.0017,55.3
"2014-01-10",35,1895,3.35,1842.37,0.0017,59.6
"2014-01-10",35,1900,2.725,1842.37,0.0017,64.1
"2014-01-10",35,1905,2.2,1842.37,0.0017,68.45
"2014-01-10",35,1910,1.8,1842.37,0.0017,73.05
"2014-01-13",11,1735,84.2,1819.2,0.0016,1.575
"2014-01-13",11,1740,79.25,1819.2,0.0016,1.725
"2014-01-13",11,1745,74.55,1819.2,0.0016,1.925
"2014-01-13",11,1750,69.65,1819.2,0.0016,2.175
"2014-01-13",11,1755,65.15,1819.2,0.0016,2.425
"2014-01-13",11,1760,60.55,1819.2,0.0016,2.775
"2014-01-13",11,1765,55.8,1819.2,0.0016,3.1
"2014-01-13",11,1770,51.35,1819.2,0.0016,3.6
"2014-01-13",11,1775,46.85,1819.2,0.0016,4.1
"2014-01-13",11,1780,42.55,1819.2,0.0016,4.75
"2014-01-13",11,1785,38.25,1819.2,0.0016,5.5
"2014-01-13",11,1790,34.1,1819.2,0.0016,6.4
"2014-01-13",11,1795,30.15,1819.2,0.0016,7.4
"2014-01-13",11,1800,26.35,1819.2,0.0016,8.6
"2014-01-13",11,1805,22.8,1819.2,0.0016,10
"2014-01-13",11,1810,19.45,1819.2,0.0016,11.6
"2014-01-13",11,1815,16.3,1819.2,0.0016,13.45
"2014-01-13",11,1820,13.4,1819.2,0.0016,15.6
"2014-01-13",11,1825,10.6,1819.2,0.0016,17.95
"2014-01-13",11,1830,8.35,1819.2,0.0016,20.7
"2014-01-13",11,1835,6.45,1819.2,0.0016,23.8
"2014-01-13",11,1840,4.85,1819.2,0.0016,27.05
"2014-01-13",11,1845,3.55,1819.2,0.0016,30.8
"2014-01-13",11,1850,2.575,1819.2,0.0016,34.8
"2014-01-13",11,1855,1.8,1819.2,0.0016,39.15
"2014-01-13",32,1725,96.4,1819.2,0.0016,6.05
"2014-01-13",32,1730,91.8,1819.2,0.0016,6.5
"2014-01-13",32,1735,87.6,1819.2,0.0016,7
"2014-01-13",32,1740,83.3,1819.2,0.0016,7.5
"2014-01-13",32,1745,78.85,1819.2,0.0016,8.15
"2014-01-13",32,1750,74.45,1819.2,0.0016,8.8
"2014-01-13",32,1755,70.15,1819.2,0.0016,9.55
"2014-01-13",32,1760,65.9,1819.2,0.0016,10.3
"2014-01-13",32,1765,61.8,1819.2,0.0016,11.15
"2014-01-13",32,1770,57.8,1819.2,0.0016,12.05
"2014-01-13",32,1775,53.6,1819.2,0.0016,13.15
"2014-01-13",32,1780,49.85,1819.2,0.0016,14.2
"2014-01-13",32,1785,46.05,1819.2,0.0016,15.4
"2014-01-13",32,1790,42.1,1819.2,0.0016,16.7
"2014-01-13",32,1795,38.7,1819.2,0.0016,18.15
"2014-01-13",32,1800,35.05,1819.2,0.0016,19.6
"2014-01-13",32,1805,31.8,1819.2,0.0016,21.4
"2014-01-13",32,1810,28.7,1819.2,0.0016,23.25
"2014-01-13",32,1815,25.65,1819.2,0.0016,25.25
"2014-01-13",32,1820,22.75,1819.2,0.0016,27.45
"2014-01-13",32,1825,20.05,1819.2,0.0016,29.75
"2014-01-13",32,1830,17.5,1819.2,0.0016,32.25
"2014-01-13",32,1835,15.25,1819.2,0.0016,34.95
"2014-01-13",32,1840,13.1,1819.2,0.0016,37.8
"2014-01-13",32,1845,11.15,1819.2,0.0016,40.85
"2014-01-13",32,1850,9.45,1819.2,0.0016,44.1
"2014-01-13",32,1855,7.95,1819.2,0.0016,47.55
"2014-01-13",32,1860,6.6,1819.2,0.0016,51.2
"2014-01-13",32,1865,5.4,1819.2,0.0016,55.1
"2014-01-13",32,1870,4.45,1819.2,0.0016,59.1
"2014-01-13",32,1875,3.65,1819.2,0.0016,63.4
"2014-01-13",32,1880,2.975,1819.2,0.0016,67.65
"2014-01-13",32,1885,2.375,1819.2,0.0016,72.05
"2014-01-13",32,1890,1.9,1819.2,0.0016,76.65
"2014-01-14",17,1740,99.45,1838.88,0.0018,1.575
"2014-01-14",17,1745,94.9,1838.88,0.0018,1.725
"2014-01-14",17,1750,90.1,1838.88,0.0018,1.9
"2014-01-14",17,1755,85.3,1838.88,0.0018,2.075
"2014-01-14",17,1760,80.5,1838.88,0.0018,2.3
"2014-01-14",17,1765,75.75,1838.88,0.0018,2.575
"2014-01-14",17,1770,71,1838.88,0.0018,2.85
"2014-01-14",17,1775,66.35,1838.88,0.0018,3.2
"2014-01-14",17,1780,61.75,1838.88,0.0018,3.6
"2014-01-14",17,1785,57,1838.88,0.0018,4.05
"2014-01-14",17,1790,52.5,1838.88,0.0018,4.6
"2014-01-14",17,1795,48.1,1838.88,0.0018,5.2
"2014-01-14",17,1800,43.9,1838.88,0.0018,5.95
"2014-01-14",17,1805,39.7,1838.88,0.0018,6.75
"2014-01-14",17,1810,35.65,1838.88,0.0018,7.7
"2014-01-14",17,1815,31.75,1838.88,0.0018,8.8
"2014-01-14",17,1820,27.9,1838.88,0.0018,10.05
